"FUENTE"|"FECHA"|"PI_NCF"|"PI_NOMBRE"|"PI_RNC"|"PI_TOTAL"|"PI_EXONERACION"|"PI_PCT_LEY"|"PI_IVA"|"MONTO"
"PATEPALO"|20180301|"-"|"-"|"-"|2726.53|" -   "|213.01|383.42|2130.10
"PATEPALO"|20180301|"-"|"-"|"-"|7196.87|" -   "|562.26|1012.06|5622.55
"PATEPALO"|20180301|"-"|"-"|"-"|32716.80|" -   "|2556.00|4600.80|25560.00
"PATEPALO"|20180301|"-"|"-"|"-"|10991.69|" -   "|858.73|1545.71|8587.25
"PATEPALO"|20180301|"-"|"-"|"-"|5076.39|" -   "|396.59|713.87|3965.93
"PATEPALO"|20180301|"-"|"-"|"-"|9177.60|" -   "|717.00|1290.60|7170.00
"PATEPALO"|20180301|"-"|"-"|"-"|4058.00|" -   "|317.03|570.66|3170.31
"PATEPALO"|20180301|"-"|"-"|"-"|2022.40|" -   "|158.00|284.40|1580.00
"PATEPALO"|20180301|"-"|"-"|"-"|9363.60|" -   "|731.53|1316.76|7315.31
"PATEPALO"|20180301|"-"|"-"|"-"|5068.80|" -   "|396.00|712.80|3960.00
"PATEPALO"|20180301|"-"|"-"|"-"|8087.56|" -   "|631.84|1137.31|6318.41
"PATEPALO"|20180301|"-"|"-"|"-"|678.40|" -   "|53.00|95.40|530.00
"PATEPALO"|20180301|"-"|"-"|"-"|1568.00|" -   "|122.50|220.50|1225.00
"PATEPALO"|20180301|"-"|"-"|"-"|1159.59|" -   "|90.59|163.07|905.93
"PATEPALO"|20180301|"-"|"-"|"-"|6739.20|" -   "|526.50|947.70|5265.00
"PATEPALO"|20180301|"-"|"-"|"-"|2029.20|" -   "|158.53|285.36|1585.31
"PATEPALO"|20180301|"-"|"-"|"-"|2643.99|" -   "|206.56|371.81|2065.62
"PATEPALO"|20180301|"-"|"-"|"-"|985.60|" -   "|77.00|138.60|770.00
"PATEPALO"|20180301|"-"|"-"|"-"|5504.00|" -   "|430.00|774.00|4300.00
"PATEPALO"|20180301|"-"|"-"|"-"|204.80|" -   "|16.00|28.80|160.00
"PATEPALO"|20180301|"-"|"-"|"-"|5280.00|" -   "|412.50|742.50|4125.00
"PATEPALO"|20180301|"-"|"-"|"-"|18206.72|" -   "|1422.40|2560.32|14224.00
"PATEPALO"|20180301|"-"|"-"|"-"|2023.59|" -   "|158.09|284.57|1580.93
