,FUENTE,FECHA,PI_NCF,PI_NOMBRE,PI_RNC,PI_TOTAL,PI_EXONERACION,PI_PCT_LEY,PI_IVA,MONTO,MG_RNC,MG_NUMERO,MG_IMPUESTO,CHCK_1,DIFF
0,PATEPALO,20180301,-,-,-,"2,726.53", -   ,213.01,383.42,"2,130.10",130923231,A010010010100029670,383.42,"2,130.10",0
1,PATEPALO,20180301,-,-,-,"2,022.40", -   ,158.00,284.40,"1,580.00",0,A010010010200008745,284.40,"1,580.00",0
2,PATEPALO,20180301,-,-,-,"2,029.20", -   ,158.53,285.36,"1,585.31",0,A010010010200008747,285.36,"1,585.31",0
3,PATEPALO,20180301,-,-,-,"13,256.78", -   ,"1,035.69","1,864.23","10,356.86",0,A010010010200008748,"1,864.23","10,356.86",0
4,PATEPALO,20180301,-,-,-,"10,727.19", -   ,838.06,"1,508.51","8,380.62",101013575,A010010010100029672,"1,508.51","8,380.62",0
5,PATEPALO,20180301,-,-,-,"9,229.44", -   ,721.05,"1,297.89","7,210.50",130068496,A010010010100029674,"1,297.89","7,210.50",0
6,PATEPALO,20180301,-,-,-,"2,873.60", -   ,224.50,404.10,"2,245.00",131038557,A010010010100029675,404.10,"2,245.00",0
7,PATEPALO,20180301,-,-,-,"7,526.40", -   ,588.00,"1,058.40","5,880.00",130469059,A010010010100029677,"1,058.40","5,880.00",0
8,PATEPALO,20180301,-,-,-,"8,198.40", -   ,640.50,"1,152.90","6,405.00",131214282,A010010010100029678,"1,152.90","6,405.00",0
9,PATEPALO,20180301,-,-,-,"4,739.20", -   ,370.25,666.45,"3,702.50",113139455,A010010010100029676,666.45,"3,702.50",0
10,PATEPALO,20180302,-,-,-,"1,785.60", -   ,139.50,251.10,"1,395.00",401007479,A010010011500000641,251.10,"1,395.00",0
11,PATEPALO,20180302,-,-,-,"9,644.93", -   ,753.51,"1,356.32","7,535.10",101880465,A010010010100029680,"1,356.32","7,535.10",0
12,PATEPALO,20180302,-,-,-,"16,698.79", -   ,"1,304.59","2,348.27","13,045.93",124009987,A010010010100029679,"2,348.27","13,045.93",0
13,PATEPALO,20180302,-,-,-,"7,859.20", -   ,614.00,"1,105.20","6,140.00",122002626,A010010010100029681,"1,105.20","6,140.00",0
14,PATEPALO,20180302,-,-,-,"5,260.80", -   ,411.00,739.80,"4,110.00",130592802,A010010010100029682,739.80,"4,110.00",0
15,PATEPALO,20180302,-,-,-,"2,681.60", -   ,209.50,377.10,"2,095.00",130815313,A010010010100029683,377.10,"2,095.00",0
16,PATEPALO,20180302,-,-,-,"10,285.99", -   ,803.59,"1,446.47","8,035.93",131558526,A010010010100029687,"1,446.47","8,035.93",0
17,PATEPALO,20180303,-,-,-,"11,412.39", -   ,891.59,"1,604.87","8,915.93",130838021,A010010010100029691,"1,604.87","8,915.93",0
18,PATEPALO,20180303,-,-,-,"7,289.60", -   ,569.50,"1,025.10","5,695.00",102316163,A010010010100029692,"1,025.10","5,695.00",0
19,PATEPALO,20180303,-,-,-,"2,464.40", -   ,192.53,346.56,"1,925.31",0,A010010010200008751,346.56,"1,925.31",0
20,PATEPALO,20180303,-,-,-,"1,849.60", -   ,144.50,260.10,"1,445.00",131205577,A010010010100029694,260.10,"1,445.00",0
21,PATEPALO,20180303,-,-,-,"3,521.99", -   ,275.16,495.28,"2,751.55",131373577,A010010010100029695,495.28,"2,751.55",0
22,PATEPALO,20180303,-,-,-,"1,338.79", -   ,104.59,188.27,"1,045.93",130447705,A010010010100029696,188.27,"1,045.93",0
23,PATEPALO,20180303,-,-,-,"2,240.00", -   ,175.00,315.00,"1,750.00",114974744,A010010010100029697,315.00,"1,750.00",0
24,PATEPALO,20180303,-,-,-,"8,717.20", -   ,681.03,"1,225.86","6,810.31",101829168,A010010010100029699,"1,225.86","6,810.31",0
25,PATEPALO,20180303,-,-,-,"9,062.53", -   ,708.01,"1,274.42","7,080.10",130898962,A010010010100029700,"1,274.42","7,080.10",0
26,PATEPALO,20180303,-,-,-,"7,258.79", -   ,567.09,"1,020.77","5,670.93",101788003,A010010010100029701,"1,020.77","5,670.93",0
27,PATEPALO,20180304,-,-,-,"4,300.80", -   ,336.00,604.80,"3,360.00",131603637,A010010010100029703,604.80,"3,360.00",0
28,PATEPALO,20180304,-,-,-,"7,328.00", -   ,572.50,"1,030.50","5,725.00",130779503,A010010010100029704,"1,030.50","5,725.00",0
29,PATEPALO,20180304,-,-,-,"2,451.20", -   ,191.50,344.70,"1,915.00",101060702,A010010010100029705,344.70,"1,915.00",0
30,PATEPALO,20180304,-,-,-,"5,580.93", -   ,436.01,784.82,"4,360.10",130380572,A010010010100029709,784.82,"4,360.10",0
